TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact,AllNotes
8746,Survey,Uncertain Feature,Scrub,Pasture,2022-09-14,12,10,0.7,5 - extinct or near extinct,Looting,"Adela 27 Dec: Extinct Burial Mound?,grassland,Round"
8593,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-14,20,NA,1.5,2 - minor damage,Animal activity,
8594,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-14,15,NA,0.5,2 - minor damage,Animal activity,
8747,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,14,10,1.2,2 - minor damage,Other (Geodetic marker on top of the mound ),"grassland,round shape with trees in the periphery of the mound."
8595,Legacy verification,Other,Scrub,Scrub,2022-09-14,5,NA,3,2 - minor damage,Erosion,
8748,Survey,Other,Scrub,Pasture,2022-09-14,14,10,2,1 - pristine,Other (military and vegetation ),"Military feature),grassland,Open c-shape open to south east"
8596,Legacy verification,Extinct Burial Mound,Scrub,Scrub,2022-09-14,10,NA,0,0 - No observation,Natural,"not possible to determine the exact shape, no mound around"
8749,Legacy verification,Burial Mound,Pasture,Scrub,2022-09-14,25,NA,4.5,4 - seriously damaged,Looting,"grassland,and forest"
8750,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,15,12,4,2 - minor damage,Road cut,"grassland,Hard to determine duets road cut a long the foot of the mound. Might be oval shaped"
8751,Legacy verification,Other,Perennial agriculture,Pasture,2022-09-14,14,12,1.2,2 - minor damage,Other (geodetic marker),"Geodetic marker),e.g orchard or vineyard (Scrub some,grassland (Scrub,Oval shape obscured by scrub"
8597,Legacy verification,Other,Forest,Forest,2022-09-14,0,NA,0,0 - No observation,No observation,
8752,Legacy verification,Other,Perennial agriculture,Perennial agriculture,2022-09-14,0,0,0,0 - No observation,No observation,"falsepositive black square),e.g orchard or vineyard,e.g orchard or vineyard"
8598,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-15,27,NA,3,2 - minor damage,Animal activity,
8599,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-15,40,NA,4,3 - damaged,Looting,
9745,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-15,0,NA,0,0 - No observation,Agriculture,
9829,Legacy verification,Other,Pasture,Pasture,2022-09-15,22,11,2.5,1 - pristine,Other (Military construction and geodetic marker),"Military structure. ),grassland,grassland (Visible soil and trees,Military structure is a semi circle about 5m in diameter. the construction makes the shape of the entire dirt mound a triangular shape."
8600,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-15,80,NA,0,0 - No observation,Agriculture,
8601,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-15,40,NA,2,4 - seriously damaged,Agriculture,
9830,Survey,Burial Mound,Scrub,Pasture,2022-09-15,25,22,1.5,4 - seriously damaged,Other (Military activity ),"Could have been a mound but later rebuild a a military trench)?,grassland (With some scrub,Circular shaped mound. c-shaped military trench."
8602,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-15,36,NA,2.5,3 - damaged,Looting,grassland
8603,Legacy verification,Extinct Burial Mound,Annual agriculture,Pasture,2022-09-15,0,NA,0,5 - extinct or near extinct,Agriculture,grassland
9831,Legacy verification,Other,Annual agriculture,Scrub,2022-09-15,10,30,0,1 - pristine,Other (Geodetic point ),"Geodetic marker ),Oval shape"
9832,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-15,0,NA,0,2 - minor damage,Agriculture,
8604,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-15,45,NA,2,4 - seriously damaged,Agriculture,
8605,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-15,45,NA,2,4 - seriously damaged,Agriculture,
9833,Survey,Uncertain Feature,Annual agriculture,Scrub,2022-09-15,14,13,1.8,1 - pristine,Agriculture,"Maybe a burial mound.),Round shape"
8606,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-15,25,NA,0.4,4 - seriously damaged,Agriculture,
9834,Survey,Uncertain Feature,Annual agriculture,Scrub,2022-09-15,5,NA,1.6,2 - minor damage (Animal holes),Agriculture,Round
9835,Survey,Uncertain Feature,Annual agriculture,Scrub,2022-09-15,14,10,1.7,2 - minor damage,Agriculture,Oval
9836,Legacy verification,Other,Annual agriculture,Scrub,2022-09-15,40,NA,3,2 - minor damage (On the entrance on the north west side of the bunker. As a military structure it is in good condition. ),Other (Military activity ),"Military construction ),Mound is round with a semi circle shaped military structure in the middle."
9837,Legacy verification,Other,Annual agriculture,Scrub,2022-09-15,2,NA,1,2 - minor damage (Entrance damaged ),Other (Military construction ),"Military structure ),Military structure octagonal shape. measures 2mx2m"
9838,Legacy verification,Burial Mound?,Annual agriculture,Annual agriculture,2022-09-15,30,NA,0.4,5 - extinct or near extinct,Agriculture,Round over ploughed mound
9839,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-15,25,NA,0.5,5 - extinct or near extinct,Agriculture,Round shape
9840,Survey,Other,Annual agriculture,Scrub,2022-09-15,11,5,0.3,3 - damaged,Erosion,"military structure ),oval shaped"
9841,Survey,Other,Annual agriculture,Scrub,2022-09-15,20,6,1.5,1 - pristine,Erosion,"military structure ),oval"
9842,Legacy verification,Other,Annual agriculture,Scrub,2022-09-15,7,4,1,1 - pristine,Other (geodetic marker ),"Geodetic point),oval"
9843,Survey,Other,Annual agriculture,Scrub,2022-09-15,6,4,0,5 - extinct or near extinct,Other (Collapsed and poorly made),military structure )
8607,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-16,30,NA,1,3 - damaged,Looting,"grassland,grassland"
8608,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-16,15,NA,0.3,5 - extinct or near extinct,Agriculture,
9844,Legacy verification,Extinct Burial Mound,Scrub,Scrub,2022-09-16,0,NA,0,5 - extinct or near extinct,Agriculture,
9845,Legacy verification,Other,Pasture,Pasture,2022-09-16,15,12,1.7,2 - minor damage,Erosion,"Military structure ),grassland,grassland,shape of the concrete structure is semi circular"
8609,Legacy verification,Other,Pasture,Pasture,2022-09-16,38,NA,3,0 - No observation,Construction,"grassland,grassland"
8610,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-16,45,NA,2.5,2 - minor damage,Post-depositional,"grassland,grassland"
9846,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-16,18,NA,2.5,3 - damaged,Looting,round
9847,Legacy verification,Burial Mound?,Pasture,Forest,2022-09-16,15,10,3,2 - minor damage,Agriculture,"grassland,round shape,"
8611,Legacy verification,Uncertain Feature,Scrub,Pasture,2022-09-16,20,NA,0.5,4 - seriously damaged,Construction,"Adela 27 Dec: Extinct Burial Mound?,grassland"
8753,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-16,30,NA,3,2 - minor damage,Animal activity,
9848,Legacy verification,Burial Mound,Scrub,Forest,2022-09-16,35,NA,4.5,2 - minor damage,Erosion,round
8612,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-16,50,NA,6,3 - damaged,Agriculture,"large prominent mound,"
8754,Survey,Other,Scrub,Pasture,2022-09-16,8,NA,2.5,0 - No observation,Other,"tank implacement, military feature ),grassland,8 x 4 x 2,5"
9746,Survey,Burial Mound,Urban,Pasture,2022-09-17,40,NA,4,1 - pristine,No observation,"in a settlement or surrounded by infrastructure,grassland"
8614,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-19,22,NA,3,2 - minor damage,Animal activity,"grassland,grassland"
9849,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-19,30,NA,2,2 - minor damage,Agriculture,Round
8755,Survey,Burial Mound?,Forest,Scrub,2022-09-19,12,NA,0.6,2 - minor damage,Post-depositional,"grassy clearing in the forest,oval or slightly irregular"
8615,Legacy verification,Burial Mound,Pasture,Scrub,2022-09-19,20,NA,2.5,3 - damaged,Looting,grassland
9850,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-19,30,NA,2,2 - minor damage,Agriculture,Roun
8756,Survey,Burial Mound?,Forest,Forest,2022-09-19,10,NA,0.5,3 - damaged,Looting?,roundish.
9747,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-19,120,NA,0,2 - minor damage,Agriculture,
9851,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-19,0,NA,0,3 - damaged,Agriculture,Unknown
8616,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-19,22,NA,2,3 - damaged,Animal activity,"grassland,grassland"
8757,Legacy verification,Extinct Burial Mound,Forest,Forest,2022-09-19,0,NA,0,5 - extinct or near extinct,"Other (specify in Annotation) (Mound is not here, but we were unable to establish the reason why.)",none
8617,Legacy verification,Burial Mound,Scrub,Forest,2022-09-19,22,NA,1.7,3 - damaged,Looting,
8618,Legacy verification,Burial Mound,Pasture,Forest,2022-09-19,28,NA,1.5,4 - seriously damaged,Looting,grassland
8758,Survey,Burial Mound?,Pasture,Pasture,2022-09-19,10,NA,0.8,3 - damaged,Looting,"grassland,grassland"
9852,Legacy verification,Burial Mound?,Perennial agriculture,Scrub,2022-09-19,12,NA,2,1 - pristine,Erosion,e.g orchard or vineyard
8619,Legacy verification,Other,Scrub,Pasture,2022-09-19,50,NA,3,0 - No observation,Construction,"grassland,set of military installations, trenches lead further south, east and west"
8759,Legacy verification,Burial Mound,Pasture,Forest,2022-09-19,17,NA,2.4,3 - damaged,Looting,"grassland,scrub"
9853,Legacy verification,Burial Mound,Forest,Forest,2022-09-19,20,NA,1,4 - seriously damaged,Looting,
8760,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-19,18,15,2.5,2 - minor damage,Erosion,"grassland,grassland (scrub and trees on periphery,oval"
9854,Survey,Burial Mound?,Scrub,Scrub,2022-09-19,20,NA,1.6,3 - damaged,Other (Military trench),Highly deformed by the military trench.
9855,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-19,20,NA,2,2 - minor damage,Agriculture,
9856,Legacy verification,Extinct Burial Mound,Scrub,Scrub,2022-09-19,0,NA,0,0 - No observation,No observation,We served the whole aria and didn''t find anything. )
8623,Survey,Uncertain Feature,Annual agriculture,Scrub,2022-09-20,12,NA,0.7,0 - No observation,Agriculture,
8624,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-20,18,NA,1,3 - damaged,Agriculture,
9857,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-20,11,10,0.5,3 - damaged,Agriculture,grassland
8761,Legacy verification,Burial Mound,Forest,Forest,2022-09-20,20,NA,2.5,4 - seriously damaged,Looting,"uneven shape,longer in the back,hence the longer diameter"
9858,Legacy verification,Burial Mound,Pasture,Forest,2022-09-20,25,NA,1.5,2 - minor damage,Erosion,grassland
8625,Survey,Uncertain Feature,Scrub,Pasture,2022-09-20,16,NA,0.6,3 - damaged,Animal activity,grassland
8626,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-20,35,NA,3.5,2 - minor damage,Animal activity,
9859,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-20,30,25,4,3 - damaged,Looting,
9860,Survey,Burial Mound?,Annual agriculture,Scrub,2022-09-20,16,NA,1,3 - damaged,Looting,
8627,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-20,20,NA,1.5,3 - damaged,Erosion,
8762,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-20,40,NA,2.4,3 - damaged,Agriculture,"fallow field,fallow field"
9861,Survey,Burial Mound,Annual agriculture,Annual agriculture,2022-09-20,NA,NA,0.2,5 - extinct or near extinct,Agriculture,
8628,Legacy verification,Extinct Burial Mound,Scrub,Scrub,2022-09-20,0,NA,0,0 - No observation,No observation,
8629,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-20,35,NA,4,3 - damaged,Erosion,
9862,Legacy verification,Burial Mound,Forest,Forest,2022-09-20,40,NA,4,4 - seriously damaged,Looting,
8630,Survey,Burial Mound,Scrub,Scrub,2022-09-20,22,NA,1.2,2 - minor damage,Animal activity,
8763,Survey,Burial Mound,Annual agriculture,Scrub,2022-09-20,17,NA,2,2 - minor damage,Agriculture,
8764,Legacy verification,Burial Mound?,Annual agriculture,Pasture,2022-09-20,20,7,0.3,5 - extinct or near extinct,Agriculture,"grassland,lozange shaped"
8631,Survey,Other,Scrub,Scrub,2022-09-20,40,NA,2,4 - seriously damaged,Construction,Military structure)
8765,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-20,25,NA,3.5,2 - minor damage,Looting,grassland
8766,Legacy verification,Burial Mound?,Annual agriculture,Pasture,2022-09-20,40,NA,2.7,3 - damaged,Agriculture,grassland
8632,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-20,20,NA,1.2,3 - damaged,Erosion,
8633,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-20,20,NA,1.5,3 - damaged,Agriculture,"grassland,grassland"
9863,Legacy verification,Burial Mound,Forest,Forest,2022-09-20,8,NA,1.5,3 - damaged,Looting,
8767,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-20,25,NA,1.7,3 - damaged,Agriculture,"sprawling, plowed up."
9864,Survey,Burial Mound,Forest,Forest,2022-09-20,20,NA,1,2 - minor damage,Looting,
8634,Legacy verification,Burial Mound,Perennial agriculture,Pasture,2022-09-20,15,NA,1.5,3 - damaged,Agriculture,"e.g orchard or vineyard,grassland"
9865,Survey,Burial Mound,Scrub,Scrub,2022-09-21,20,17,1.2,3 - damaged,Looting,slightly oval shaped.
9866,Legacy verification,Burial Mound,Pasture,Scrub,2022-09-21,25,20,2.5,4 - seriously damaged,Looting,"grassland,The mound has been damaged in 2 locations by a bulldozer and the remaining material forms an M shape in the landscape"
9867,Legacy verification,Extinct Burial Mound,Forest,Other,2022-09-21,0,NA,0,0 - No observation,No observation,explain in notes (No mound found.
9868,Survey,Burial Mound?,Scrub,Scrub,2022-09-21,8,NA,0.5,3 - damaged,Looting,
9869,Survey,Burial Mound,Scrub,Scrub,2022-09-21,18,NA,2.3,1 - pristine,Animal activity,Round
9870,Survey,Burial Mound,Pasture,Scrub,2022-09-21,20,NA,3,2 - minor damage,Looting,"grassland,Round."
8635,Legacy verification,Burial Mound,Annual agriculture,Forest,2022-09-21,46,NA,3.5,2 - minor damage,Agriculture,round burial mound
8768,Legacy verification,Extinct Burial Mound,Scrub,Scrub,2022-09-21,20,15,1.7,5 - extinct or near extinct,Looting (maybe excavated )??,
8636,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-21,100,NA,0,3 - damaged,Agriculture,
8637,Survey,Burial Mound,Forest,Pasture,2022-09-21,35,NA,3.5,4 - seriously damaged,Looting,"grassland,round"
8769,Survey,Other,Scrub,Scrub,2022-09-21,10,8,2.2,0 - No observation,Other (military),tank emplacement
8638,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-21,48,NA,6,3 - damaged,Looting,grassland
8770,Legacy verification,Burial Mound?,Annual agriculture,Forest,2022-09-21,8,NA,0.8,5 - extinct or near extinct,Post-depositional,"sparse forest,from the bottom of the trench to the bottom of the trench/internal, a bump with a trench around donut-like, two concentric circles"
8639,Legacy verification,Uncertain Feature,Urban,Scrub,2022-09-21,35,NA,6,3 - damaged,Urban development,"possibly a geodetic marker),in a settlement or surrounded by infrastructure,round"
8771,Legacy verification,Extinct Burial Mound,Forest,Scrub,2022-09-21,0,0,0,0 - No observation,No observation,none
8640,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-21,19,NA,1.1,3 - damaged,Agriculture,round
8641,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-21,19,NA,1.1,3 - damaged,Agriculture,
8642,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-21,22,NA,0.5,3 - damaged,Agriculture,
8643,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-21,0,NA,0,4 - seriously damaged,Agriculture,
8772,Legacy verification,Extinct Burial Mound?,Forest,Scrub,2022-09-21,5,0,0.3,5 - extinct or near extinct,Other (specify in Annotation),"sphere-like, protruding 30m above the creek on the mound,"
8773,Legacy verification,Extinct Burial Mound,Forest,Forest,2022-09-21,0,0,0,0 - No observation,No observation,none
8644,Legacy verification,Other,Forest,Scrub,2022-09-21,20,NA,1,0 - No observation,Other (military activity and geodetic marker ),"military structure and geodetic point ),round shape enclosed with military trenches"
8774,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-21,20,NA,0.5,4 - seriously damaged,Agriculture,
8645,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-21,100,NA,0,3 - damaged,Agriculture,
8775,Legacy verification,Extinct Burial Mound?,Pasture,Pasture,2022-09-21,0,0,0,0 - No observation,No observation,"grassland,grassland,undiscernible"
8646,Legacy verification,Burial Mound,Forest,Scrub,2022-09-21,24,NA,1.7,3 - damaged,Looting,
8776,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-21,16,10,1.7,4 - seriously damaged,Looting,"grassland,grassland"
8647,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-22,28,NA,2.5,3 - damaged,Looting,"grassland,grassland,round"
9871,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-22,20,16,2,2 - minor damage,Agriculture,Slightly ovoid.
9872,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-22,14,NA,1.8,4 - seriously damaged,Looting,Round
8777,Legacy verification,Tell?,Annual agriculture,Pasture,2022-09-22,100,NA,5,2 - minor damage,Animal activity,"grassland,hight from field is 5 m."
8778,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-22,100,20,0,1 - pristine,Agriculture,
9873,Legacy verification,Burial Mound,Forest,Scrub,2022-09-22,17,NA,1.8,2 - minor damage,Excavation (Trench may be of military origin. Angel considers it very unlikely to be a robbers trench due to location and depth in mound.),Oval. Difficult to determine base of mound due to natural topography surrounding matching mound side slope angle Very difficult to determine due to location in topography.??
8648,Legacy verification,Uncertain Feature?,Forest,Forest,2022-09-22,40,NA,5,4 - seriously damaged (We do not know if this is looting due to the uncertainty of the type of feature)?,Other,40m in diameter at the base and around
8779,Survey,Other,Annual agriculture,Annual agriculture,2022-09-22,0,NA,0,0 - No observation,Post-depositional,spearhead)
8780,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-22,25,NA,5,1 - pristine,Looting,grassland (scrub
9874,Legacy verification,Burial Mound,Pasture,Forest,2022-09-22,25,NA,3.5,2 - minor damage,Looting,"grassland (Pasture on a east, west and north and Forest on the south,Round. Difficult to confirm dimensions due to forest and scrub."
8781,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-22,20,NA,2,2 - minor damage,Agriculture,
8782,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-22,13,NA,1.6,1 - pristine,Agriculture,grassland (partial scrub
9875,Legacy verification,Burial Mound,Forest,Forest,2022-09-22,15,NA,1.8,2 - minor damage,Other,round
9876,Legacy verification,Burial Mound,Forest,Forest,2022-09-22,20,NA,1.8,1 - pristine,No observation,Round
8783,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-22,20,NA,0.5,4 - seriously damaged,Agriculture,"possibly a stone pile under scrub and grass)?,scrub?,scrubs"
9877,Legacy verification,Burial Mound,Forest,Forest,2022-09-22,35,NA,4.5,3 - damaged,Looting,round
8784,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-22,25,0,1,5 - extinct or near extinct,Agriculture,sprawling ploughed mound
9878,Legacy verification,Burial Mound,Annual agriculture,Forest,2022-09-22,16,11,0.4,4 - seriously damaged,Agriculture,oval. expected to be oval and reduced in height because of ploughing.
8785,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,40,NA,1.4,3 - damaged,Agriculture,
8786,Legacy verification,Burial Mound,Perennial agriculture,Pasture,2022-09-23,32,NA,3,2 - minor damage,Animal activity,"e.g orchard or vineyard,grassland,Round"
9879,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-23,16,10,0.4,4 - seriously damaged,Agriculture,oval
8787,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,28,NA,0.5,5 - extinct or near extinct,Anthropogenic,
9880,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-23,16,12,0.5,4 - seriously damaged,Agriculture,"grassland,oval"
8788,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,28,NA,0.4,5 - extinct or near extinct,Agriculture,
8789,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,30,NA,1.1,4 - seriously damaged,Agriculture,
9881,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-23,NA,NA,0,3 - damaged,Agriculture,
8790,Survey,Uncertain Feature,Annual agriculture,Annual agriculture,2022-09-23,12,NA,0.2,5 - extinct or near extinct,Agriculture,
8791,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,24,NA,0.7,4 - seriously damaged,Agriculture,
8792,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,25,NA,0.8,4 - seriously damaged,Agriculture,
8793,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,35,NA,1.4,3 - damaged,Agriculture,
9882,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,35,30,2,4 - seriously damaged,Agriculture,round
8794,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,25,NA,1.1,3 - damaged,Agriculture,
9883,Legacy verification,Extinct Burial Mound?,Annual agriculture,Annual agriculture,2022-09-23,20,NA,0.15,5 - extinct or near extinct,Agriculture,
8795,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-23,20,NA,2.2,4 - seriously damaged,Excavation,"grassland,grassland"
9884,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,22,NA,0.5,3 - damaged,Agriculture,heavily flattened by agriculture
9885,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,20,NA,0.2,5 - extinct or near extinct,Agriculture,"Roundish but difficult to tell, due to agricultural damage."
9886,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2022-09-23,40,NA,2,3 - damaged,Agriculture,round. Looks like it has been flattened due to agricultural activity.
