TRAP,createdBy,Date,Type,AllNotes,Source,DescriptionOfMoundOrLocale,LU_Around,LU_Top,Latitude,Longitude,Northing,Easting,Accuracy,FacingDirectionForPhoto,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,DamageNotes,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
9510,Vera Dolezalkova,2017-09-10,Burial Mound,"grassland,grassland,photo numbers 7 and 8",Legacy verification,NA,Pasture,Pasture,42.40430314,26.13168499,4695032.272,428544.9661,3,Northwest,3,20,1.3,16,NA,NA,NA,No,NA,NA,2 - minor damage,,Animal activity,NA,1 - full,Animal activity,Last month,NA,NA,NA,POINT(428544.966109 4695032.271881)
9511,Vera Dolezalkova,2017-09-10,Burial Mound,"grassland,grassland,15-19",Legacy verification,NA,Pasture,Pasture,42.40461911,26.13133157,4695067.654,428516.2413,3,Northwest,2,17,NA,14,NA,Stone wall (krepis) - Other (Daub),Stone circle of large boulder with diameter of 5m visible in the trench in the centre of the mound,No,NA,files/app/7a9cc9d1-3b40-488c-8eb8-e98e1db59d04_image-1505023598730.original.jpg,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Last year,"Trench oriented east to west 10m in length 3m wide max depth 1.5m trench is divided with standing profile in north south direction. inside the mound, cutting across the trenches is a circle of LG quartz stone boulders CCA 1 m across.",NA,files/app/01e7ed18-6dcb-468c-bae4-495456f53978_image-1505023693426.original.jpg - files/app/aed6db7f-36aa-4d5a-8d01-bea35f8426c5_image-1505023549918.original.jpg,POINT(428516.241261 4695067.653504)
9512,Vera Dolezalkova,2017-09-10,Burial Mound,"grassland,grassland,22-36",Legacy verification,NA,Pasture,Pasture,42.40480866,26.13115114,4695088.852,428501.6085,3,Northwest,1.2,20,NA,14.5,NA,Stone wall (krepis) - Artefact scatter,quartz boulders krepis possible bronze age pottery handmade burnished late bronze greyware prehistoric eBa and bBA pottery eBa is most prominent?,No,early bronze age,files/app/042cca73-187f-4e56-a5df-06152407937b_image-1505025746749.original.jpg - files/app/37404033-99a9-48fb-8a36-11438b2b1582_image-1505024203393.original.jpg,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Last year,"circular rock formation of 1m quartz boulders Robbers trenches outside main formation, 6.9m by 4.9m",NA,files/app/19a771f1-ce57-4bb4-9179-dd7dffc9dfb4_image-1505026096013.original.jpg - files/app/c6809ca1-257b-4cda-a7ce-bc5affd1b7cd_image-1505025204046.original.jpg,POINT(428501.608501 4695088.852274)
8101,Bara Weissova,2017-09-10,Burial Mound,"grassland,grassland,local ridge,irregular due to treasure hunt. lengthened from soil movement during treasure hunt.",Legacy verification,NA,Pasture,Pasture,42.40266094,26.13346202,4694848.432,428689.3416,3,East,0.5,12,NA,10,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Looting,NA,5 - none or nearly none,Looting,Unknown,NA,NA,files/app/ed98df4b-e21b-4933-9c47-d9b56e8e471a_image-1505024656028.original.jpg,POINT(428689.341615 4694848.431896)
8102,Bara Weissova,2017-09-10,Burial Mound,camera photo  5 + 6,Legacy verification,NA,Scrub,Scrub,42.40341649,26.13752645,4694928.924,429024.6733,3,North,0.5,20,NA,15,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Excavation,NA,5 - none or nearly none,Looting,Unknown,NA,inside of mound has been excavated,NA,POINT(429024.673318 4694928.923609)
8300,Adela Sobotkova,2017-09-10,Extinct Burial Mound,39-40,Legacy verification,NA,Annual agriculture,Scrub,42.40069278,26.13347198,4694629.883,428687.9326,3,South,0.5,15,NA,11,NA,NA,Pile of white quartz stone football size in centre of the mound,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Unknown,N\A,NA,NA,POINT(428687.932566 4694629.882916)
9513,Vera Dolezalkova,2017-09-10,Burial Mound,"light brown soil at top of mound 5x5 metres
photo/114",Legacy verification,NA,Annual agriculture,Annual agriculture,42.39465764,26.13481875,4693958.626,428791.9442,3,Southwest,2,28,1.6,21,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(428791.944199 4693958.625652)
8301,Adela Sobotkova,2017-09-10,Burial Mound,41-42,Legacy verification,overgrown mound 1m weeds,Annual agriculture,Scrub,42.39780368,26.13289378,4694309.569,428637.0748,3,South,2.3,17,NA,12,NA,NA,NA,No,NA,NA,2 - minor damage,,Post-depositional,Minor looting,2 - good,Looting,Unknown,"[01, lozenge, 1.5, 0.5, 0.3, very old and overgrown]",NA,files/app/641d5767-3c81-47c7-8452-7caba1cd3ad6_image-1505028641040.original.jpg,POINT(428637.074831 4694309.569396)
8103,Bara Weissova,2017-09-10,Extinct Burial Mound,"no mound, just scrub. photo number 7",Legacy verification,"overgrown, no visible traces of any mound",Scrub,Scrub,42.40592688,26.13992744,4695205.669,429225.0808,3,South,0,0,0,0,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,No observation,NA,5 - none or nearly none,Unknown,Unknown,NA,NA,NA,POINT(429225.080824 4695205.66904)
8104,Bara Weissova,2017-09-10,Uncertain Mound,,Legacy verification,all scrub.,Scrub,Scrub,42.40836932,26.1390629,4695477.592,429156.6863,3,East,0,0,0,0,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,No observation,NA,No observation,Unknown,Unknown,NA,NA,NA,POINT(429156.686299 4695477.592247)
8302,Adela Sobotkova,2017-09-10,Burial Mound,"the scrub comprises an old vineyard gone wild,inaccessible mound in dense wild vines, documented remotely Photo no. 44-45",Legacy verification,"inside a dense wild vine field, recorded remotely due to poor access",Scrub,Scrub,42.39705737,26.12892326,4694230.044,428309.4487,3,West,1.5,15,NA,NA,NA,NA,no visibility,No,NA,NA,0 - No observation,,Other,NA,Other,Not available,Unknown,NA,NA,NA,POINT(428309.448665 4694230.044063)
8105,Bara Weissova,2017-09-10,Uncertain Mound,"hard to picture, impossible to go further and still see the mound",Legacy verification,NA,Forest,Forest,42.40992288,26.14072092,4695648.715,429294.8643,3,North,3,15,0.5,10,NA,NA,NA,No,NA,NA,1 - pristine,,No observation,NA,1 - full,Not available,Not relevant,NA,NA,NA,POINT(429294.864313 4695648.715018)
9514,Vera Dolezalkova,2017-09-10,Uncertain Mound,,Survey,NA,Scrub,Scrub,42.39738531,26.1432916,4694254.434,429492.3539,3,Northwest,1.5,11,1.3,8,NA,NA,none,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Unknown,"Robbers trench cut from east side to centre of mound
east/west 3m
north/south 2.5m
depth 1.2m
8 stones placed on the bottom of trench see drawing",point offset by 50m to north),files/app/0cce51d4-7c17-4a3c-adbb-6725ed55cb63_image-1505031808317.original.jpg - files/app/491893be-9f85-4ba9-b78e-2a58f43db1ad_image-1505032258328.original.jpg - files/app/622acd7c-42cf-4507-b36e-803aabc8b176_image-1505032478790.original.jpg - files/app/976e491c-4181-470c-9bb0-f8553ff9212c_image-1505031770802.original.jpg,POINT(429492.353923 4694254.433648)
8303,Adela Sobotkova,2017-09-10,Burial Mound,"e.g orchard or vineyard (walnut trees,grassland (scrubby,47-48",Legacy verification,mound in a fenced feild,Perennial agriculture,Pasture,42.39523427,26.11879323,4694036.207,427473.631,3,South,2.7,22,NA,NA,NA,NA,n\a,No,NA,NA,1 - pristine,,Agriculture,NA,1 - full,Agriculture,Last year,NA,NA,NA,POINT(427473.630951 4694036.20688)
9515,Vera Dolezalkova,2017-09-11,Burial Mound,Photo #1,Legacy verification,NA,Annual agriculture,Annual agriculture,42.4007734,26.22150291,4694568.702,435932.6798,3,North,1.6,40,1.4,42,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(435932.679835 4694568.701546)
8304,Adela Sobotkova,2017-09-11,Burial Mound,slr#49,Legacy verification,"mound in ploughed field,dry limestone extrusion on SE side, ploughed up and lighter colour than the surrounding",Annual agriculture,Annual agriculture,42.40607583,26.24816852,4695137.707,438132.3789,3,Southeast,1.4,13,NA,12,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,ploughed up sprawling mound,NA,POINT(438132.378925 4695137.707434)
8106,Bara Weissova,2017-09-11,Burial Mound,"e.g orchard or vineyard,camera photo",Legacy verification,NA,Annual agriculture,Perennial agriculture,42.40970772,26.24783206,4695541.229,438108.2628,3,North,1.5,55,NA,50,p,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(438108.262782 4695541.229061)
8305,Adela Sobotkova,2017-09-11,Burial Mound,slr#050,Legacy verification,NA,Annual agriculture,Annual agriculture,42.40297633,26.24696348,4694794.425,438030.1664,3,Southwest,0.7,22,NA,16,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(438030.166351 4694794.424591)
9516,Vera Dolezalkova,2017-09-11,Uncertain Mound,"bigger limestone holders 15cm max spread around in scrub
photos #2-5,uncertain height",Legacy verification,"very flat and hidden in a scrub, limestones spread within the scrub",Annual agriculture,Scrub,42.40493326,26.2302587,4695024.037,436657.437,3,East,1,14,NA,8,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Unknown,NA,"pile of limestone stones in the corner of the field, gathered from the field, possibly from the plowed up mound, placed about 25 m West",NA,POINT(436657.437045 4695024.03736)
8306,Adela Sobotkova,2017-09-11,Burial Mound,"slr#51-52,short dimension refers to scrubby area only, mound extends into the ploughed field",Legacy verification,lozenge shaped near extinct mound,Annual agriculture,Scrub,42.40246734,26.24735842,4694737.62,438062.1668,3,Northwest,1,22,NA,7,NA,Other,"field stones of small size piled on top, some
e concrete markers and other modern refuse",No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(438062.166823 4694737.619986)
8107,Bara Weissova,2017-09-11,Burial Mound,,Legacy verification,NA,Annual agriculture,Scrub,42.3880455,26.189618,4693179.962,433295.1802,3,West,0.3,20,NA,11,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,agriculture,5 - none or nearly none,Looting,Unknown,NA,NA,files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg,POINT(433295.180156 4693179.961652)
9517,Vera Dolezalkova,2017-09-11,Burial Mound,"grassland,photos #8-10",Legacy verification,NA,Annual agriculture,Pasture,42.40478628,26.22903625,4695008.629,436556.692,3,West,1,25,NA,20,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,looting,4 - minimal,Looting,Unknown,"[01,rectangular,7,2.4,1.6,see the drawing]",NA,files/app/0a7933c3-14f3-4b5b-8795-650821fdb944_image-1505106560756.original.jpg - files/app/d522aa36-ed28-428e-989b-e6586d643cc3_image-1505106536208.original.jpg - files/app/e333f1c9-c016-46cd-92cb-02d773dbd560_image-1505106788260.original.jpg,POINT(436556.69197 4695008.62912)
8108,Bara Weissova,2017-09-11,Extinct Burial Mound,local viewpoint to the valley,Legacy verification,NA,Scrub,Scrub,42.38970276,26.18663453,4693366.326,433051.3626,3,Northwest,0,0,0,0,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Looting,NA,5 - none or nearly none,Looting,Unknown,NA,NA,NA,POINT(433051.362551 4693366.325957)
9518,Vera Dolezalkova,2017-09-11,Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.4084193,26.230018,4695411.298,436641.1374,3,Northeast,0.9,35,0.7,30,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(436641.137432 4695411.297874)
8109,Bara Weissova,2017-09-11,Extinct Burial Mound,,Survey,NA,Annual agriculture,Scrub,42.38807485,26.18645587,4693185.708,433034.9264,3,West,0.2,20,0,12,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Looting,agriculture; plenty of stones within looking like someone excavated and left them there,5 - none or nearly none,Looting,Unknown,NA,NA,NA,POINT(433034.926359 4693185.707691)
8307,Adela Sobotkova,2017-09-11,Extinct Burial Mound,"explain in notes (freshly bulldozer field with ripped vineyard and brush,explain in notes (see LU note above,slr#54",Legacy verification,bulldozed destroyed mound? soilmark of light brown soil and limestonea scatter,Other,Other,42.39077351,26.24532337,4693440.652,437883.1614,3,Northeast,0.5,35,NA,30,NA,Other,field stones ploughed up,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(437883.161412 4693440.652453)
8308,Adela Sobotkova,2017-09-11,Uncertain Mound,"explain in notes,explain in notes,58-57",Survey,extinct mound?,Other,Other,42.38964751,26.24537336,4693315.587,437886.1659,3,North,0.5,15,NA,12,NA,Other,white boulders scattered around,No,NA,files/app/7c1e76d6-45df-45c4-8d8f-7bfae364b28f_image-1505108700304.original.jpg - files/app/d6c235de-f276-49f4-88bd-1eee840a3912_image-1505108767205.original.jpg,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last week,NA,NA,NA,POINT(437886.165909 4693315.587227)
9519,Vera Dolezalkova,2017-09-11,Burial Mound,"grassland,photo #13-21
limestone scatter on top of mound pulled out by robbers",Legacy verification,NA,Annual agriculture,Pasture,42.40888436,26.21493816,4695474.294,435400.7453,3,West,1.8,28,1.6,25,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Last year,"[01,circular,3.5,3,1.6,limestone,see the drawing]",NA,files/app/45e8020a-2a48-40e6-a9d4-c82c9b5e23ce_image-1505109069089.original.jpg - files/app/c33a2099-30f9-4f1f-9997-825511fab578_image-1505109031224.original.jpg - files/app/ce978fdc-6f9f-4338-ab99-bf86a6250a22_image-1505109565411.original.jpg,POINT(435400.745273 4695474.294473)
8309,Adela Sobotkova,2017-09-11,Burial Mound,slr#59-60,Legacy verification,small lozenge in a field with trees and pile of stones,Annual agriculture,Scrub,42.3918815,26.24171041,4693566.327,437586.8775,3,Northwest,1,18,NA,10,NA,Other,field stone scatter in the RT,No,NA,NA,5 - extinct or near extinct,,Looting,agriculture,5 - none or nearly none,Agriculture,Last month,"[01,roundish,6,3,0.8, large trench overgrown with scrub]",mound was looted in the past and recently burnt,files/app/6fe4256d-4774-4815-afcb-9958cd2f957c_image-1505109600772.original.jpg,POINT(437586.877467 4693566.327236)
8110,Bara Weissova,2017-09-11,Burial Mound,,Survey,NA,Annual agriculture,Annual agriculture,42.39869179,26.18602103,4694364.93,433010.4254,3,North,1.8,35,NA,40,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(433010.425364 4694364.929879)
8310,Adela Sobotkova,2017-09-11,Uncertain Mound,#62-65,Survey,bluff with manmade embankment and stone walls and features,Annual agriculture,Scrub,42.39356388,26.24149945,4693753.29,437571.1809,3,North,1,25,NA,25,NA,Other,NA,No,NA,NA,4 - seriously damaged,specify in Annotation) (embankment),Excavation,burning,5 - none or nearly none,Other,Unknown,"[01,round,6,5,1.5, dug in with stone wall to E;02,ditch,12,2,1.5,some fieldstones around]",NA,files/app/ca44bd7a-792e-43fc-ba89-c31ea9ee056f_image-1505112714338.original.jpg - files/app/fd6e656c-699a-4a0e-952b-8b2e3e610e2e_image-1505110528573.original.jpg,POINT(437571.180948 4693753.289884)
9520,Vera Dolezalkova,2017-09-11,Burial Mound,"grassland,grassland,photo #24-28",Legacy verification,NA,Pasture,Pasture,42.41040418,26.2112497,4695645.864,435098.8035,3,Northwest,0.5,15,NA,12,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Unknown,"[01,circular,4.5,4.5,0.5,white quartz stones piled on the west rt cut]",NA,files/app/210781b9-74ed-4598-b430-fa70f45e5c9b_image-1505110638882.original.jpg - files/app/255854e6-16a4-446f-a048-9e6e444f5b0b_image-1505110862732.original.jpg - files/app/4c802e25-46a0-45af-a2f4-bb0428e6506d_image-1505110570476.original.jpg,POINT(435098.803502 4695645.863672)
8111,Bara Weissova,2017-09-11,Burial Mound,"grassland,grassland",Legacy verification,Staneva mogila,Pasture,Pasture,42.40267242,26.18076711,4694811.085,432582.2927,3,Northwest,2.3,25,NA,22,NA,NA,NA,No,NA,NA,2 - minor damage,,Animal activity,excavation,1 - full,Animal activity,Last year,"01, rectangle, very old and shallow and open in the sw of mound",NA,files/app/7f8c96af-4424-44c7-bc46-67373ea7d923_image-1505111047069.original.jpg,POINT(432582.292662 4694811.085396)
8311,Adela Sobotkova,2017-09-11,Uncertain Mound,"half bare half scrub,66",Survey,NA,Annual agriculture,Scrub,42.39214205,26.24058881,4693596.083,437494.8197,3,West,0.3,20,NA,19,NA,Other,"one modern  pile of fieldstones, 3 by 1 m ,1 m tall",No,NA,NA,5 - extinct or near extinct,,Other,trampling?,5 - none or nearly none,Agriculture,Last month,NA,burning,NA,POINT(437494.819655 4693596.082714)
9521,Vera Dolezalkova,2017-09-11,Burial Mound,"grassland,grassland,compared to other RT from other mound very eroded with lots of scrub
photo #29-34",Legacy verification,NA,Pasture,Pasture,42.41069685,26.2110756,4695678.494,435084.7798,3,North,1.4,18,1.2,16,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Unknown,"[01,round,9,10,1.6,very old,eroded rt with grass and scrub in it]
empty trench without any material",NA,files/app/015e87bf-83db-4d68-a6e4-3b36a5967dd3_image-1505111635368.original.jpg - files/app/9341fb76-3e79-4cc4-8207-09012a5b3704_image-1505111680232.original.jpg,POINT(435084.779831 4695678.494282)
8312,Adela Sobotkova,2017-09-11,Uncertain Mound,#67,Survey,lozenge shaped scrubby feature,Annual agriculture,Scrub,42.39158994,26.24082293,4693534.606,437513.5419,3,Northwest,0.4,10,NA,8,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(437513.541942 4693534.60572)
8313,Adela Sobotkova,2017-09-11,Uncertain Mound,#68-69,Survey,low scrubby mound not in a map,Annual agriculture,Scrub,42.39152978,26.23966217,4693528.78,437417.9416,3,West,1.2,16,0.8,13,NA,Other,stones,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,4 - minimal,Agriculture,Last year,"[01,round,5,1.8,large stones inside;02,round,7,1, shallow pan with modern fieldstones]",NA,files/app/0ee64353-8329-4c00-98d1-e990da92b301_image-1505112406816.original.jpg - files/app/2bd13e33-9a68-40dc-a59a-a9ac7a1e30af_image-1505112675353.original.jpg - files/app/b52d3ef2-6b75-4555-987d-edb3e10c3cbf_image-1505112387247.original.jpg,POINT(437417.941564 4693528.779987)
8112,Bara Weissova,2017-09-11,Burial Mound,"grassland,grassland",Legacy verification,NA,Pasture,Pasture,42.40382819,26.1736336,4694945.105,431996.4942,3,West,1.5,25,NA,25,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,2 - good,Looting,Unknown,"01,square,2.5,2,0.5m, manually excavated; 02, irregular,10,4,1,manually excavated",NA,files/app/7c7bf76e-7c89-49ef-bb6e-925c7a4d2016_image-1505112322676.original.jpg - files/app/a81f8f88-cb96-43d1-a318-9cd6d721527a_image-1505112601600.original.jpg,POINT(431996.494205 4694945.104665)
8314,Adela Sobotkova,2017-09-11,Uncertain Mound,#73-74,Survey,NA,Annual agriculture,Scrub,42.38998881,26.24176533,4693356.128,437589.5226,3,South,0.5,22,NA,15,NA,NA,piles of loose fieldstones in the scrub,No,NA,files/app/f138a0a1-9718-48e8-b0ec-7a77e77ced0c_image-1505113163013.original.jpg,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(437589.522608 4693356.128156)
9522,Vera Dolezalkova,2017-09-11,Burial Mound,photo #36-38,Legacy verification,NA,Annual agriculture,Annual agriculture,42.41744756,26.21936852,4696421.774,435774.0404,3,East,1.9,55,1.6,50,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,animal activity,4 - minimal,Looting,Last year,"[01,rectangular,2.5,5,1.2,see the drawing]",NA,files/app/3ca53e36-249e-4108-8eab-9589c3684b87_image-1505113864459.original.jpg - files/app/4c6c7acb-bab2-455f-8b57-ca2729f0dd00_image-1505113721042.original.jpg - files/app/f5f972e9-3768-47a6-ab4a-aa9710cd7bab_image-1505113629030.original.jpg,POINT(435774.040392 4696421.774044)
8113,Bara Weissova,2017-09-11,Burial Mound,,Legacy verification,NA,Scrub,Scrub,42.40553013,26.16717167,4695139.276,431466.5773,3,Northwest,1,30,NA,30,NA,NA,NA,No,NA,NA,1 - pristine,,No observation,NA,1 - full,Not available,Not relevant,NA,NA,NA,POINT(431466.577335 4695139.276288)
8315,Adela Sobotkova,2017-09-11,Uncertain Mound,#76,Survey,scrubby spot in the field next to other suspects,Annual agriculture,Scrub,42.38860099,26.24272769,4693201.322,437667.3619,3,East,0.5,25,NA,19,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Agriculture,NA,5 - none or nearly none,Agriculture,Unknown,NA,NA,NA,POINT(437667.361852 4693201.321567)
