"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact"
"62",7015,"survey","Burial Mound","Annual agriculture","Pasture",2009-11-05,"18",18,"1","3","Post-depositional"
"63",7016,"survey","Burial Mound","Annual agriculture","Scrub",2009-11-06,"35",45,"5","2","Looting"
"64",7017,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-07,"45",45,"1","3?","Agriculture"
"65",7018,"survey","Uncertain Mound","Annual agriculture","Scrub",2009-11-09,"12",12,"0.7","5","Agriculture"
"66",7021,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"25",25,"3","3?","Agriculture"
"67",7022,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"20",20,"2","3?","Agriculture"
"68",8000,"survey","Burial Mound","Annual agriculture","Pasture",2009-10-12,"50",40,"6","2","Looting"
"69",8004,"survey","Burial Mound","Scrub","Pasture",2009-10-12,"46",54,"7","1","Post-depositional"
"70",8006,"survey","Burial Mound","Annual agriculture","Pasture",2009-10-13,"37",40,"6","1","Post-depositional"
"71",8007,"survey","Burial Mound","Pasture","Pasture",2009-10-20,"15",20,"4.5","1","Post-depositional | Development"
"72",8008,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-21,"20",22,"4","5","Agriculture"
"73",8009,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-21,"16",20,"4","4","Agriculture"
"74",8010,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-27,"30",30,"3","4","Agriculture"
"75",8013,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"35",35,"0.5","5","Agriculture"
"76",8014,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"35",35,"1","4","Agriculture"
"77",8015,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-13,"40",40,"1.1","4","Agriculture | Development"
"78",8017,"survey","Burial Mound","Pasture","Scrub",2009-11-14,"30",40,"3","4","Looting"
"79",6030,"survey","Burial Mound","Pasture","Scrub",2010-10-22,"34",34,"4","2","Looting"
"80",8051,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-17,"35",25,"2","3","Looting"
"81",8056,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"40",40,"4.5","2","Looting"
"82",8057,"Legacy verification","Burial Mound","Forest","Scrub",2010-11-17,"35",35,"1.8","2","Looting"
"83",8058,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-17,"25",25,"1.5","1","Looting"
"84",8059,"Survey","Burial Mound","Pasture","Pasture",2010-11-17,"30",30,"1.5","1","Looting"
"85",8060,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-17,"40",40,"1.5","5","Looting"
"86",9013,"Survey","Burial Mound","Pasture","Pasture",2010-10-23,"24",23,"2","2","Looting"
"87",9014,"Survey","Burial Mound","Pasture","Scrub",2010-10-23,"13",23,"2","5","Looting"
"88",9015,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"50",30,"0.5","5","Agriculture"
"89",9016,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"30",20,"0.3","5","Agriculture"
"90",9017,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"40",50,"1.8","5","road"
"91",9018,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"35",35,"1.5","5","Looting"
"92",9019,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-23,"20",15,"1","5","Looting"
"93",9020,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",2010-10-23,"50",60,"1.5","5","Agriculture"
"94",9021,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"25",25,"1.5","5","Agriculture"
"95",9022,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"30",30,"1.5","3","Looting"
"96",9023,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-23,"30",30,"2","5","Agriculture"
"97",9025,"Survey","Burial Mound","Pasture","Scrub",2010-10-23,"25",30,"2","3","Bioturbation"
"98",9026,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-23,"35",35,"1.5","1","None"
"99",9027,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-23,"40",40,"4","1","Bioturbation"
"100",9028,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"40",40,"8","3","Looting"
"101",9029,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-23,"40",40,"8","4","Looting"
"102",9030,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"60",60,"7","5","Looting"
"103",9037,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-24,"32",32,"2.5","1","None"
"104",9038,"Survey","Burial Mound","Pasture","Scrub",2010-10-24,"25",25,"2.0","4","Looting"
"105",9039,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"15",20,"0.4","5","Agriculture"
"106",9040,"Survey","Uncertain Mound","Annual agriculture","Pasture",2010-10-24,"30",30,"2.2","1","Agriculture"
"107",9042,"Survey","Surface Scatter","Pasture","Pasture",2010-10-24,"50",50,"0.1","5","Construction"
"108",9043,"Legacy verification","Burial Mound","Scrub","Scrub",2010-10-24,"30",30,"1.5","5","Looting"
"109",9044,"Legacy verification","Burial Mound","Scrub","Pasture",2010-10-24,"50",60,"6","5","Looting"
"110",9046,"Survey","Uncertain Mound","Forest","Forest",2010-10-24,"10",10,"1","5","Looting"
"111",9048,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"25",25,"0.8","5","Agriculture"
"112",9049,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"50",50,"3","5","Agriculture"
"113",9050,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"40",40,"1.5","5","Agriculture"
"114",9054,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"35",35,"3.5","2","Agriculture"
"115",9055,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-25,"35",35,"2","2","None"
"116",9056,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"20",20,"1.2","5","Agriculture"
"117",9057,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"15",15,"0.5","5","Agriculture"
"118",9058,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"28",30,"0.5","5","Agriculture"
"119",9059,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"35",35,"0.5","5","Agriculture"
"120",9060,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-25,"30",30,"4","4","Looting"
"121",9061,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"40",50,"1","5","road"
"122",9062,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-25,"35",35,"1","5","Agriculture"
"123",9063,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-10-25,"40",35,"1","5","Agriculture"
"124",9064,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-25,"60",60,"6","5","Looting"
"125",9065,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-25,"40",30,"2","5","road"
"126",9066,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-25,"40",40,"3","5","Looting"
"127",9067,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-25,"22",22,"1.7","2","Construction"
"128",9068,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"40",40,"0.5","5","Agriculture"
"129",9069,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"30",30,"2","4","Looting"
"130",9070,"Legacy verification","Burial Mound","Scrub","Forest",2010-10-26,"30",30,"2 acc to topomap","5","Bioturbation"
"131",9072,"Legacy verification","Burial Mound","Perennial agriculture","Perennial agriculture",2010-10-26,"60",40,"2","5","Agriculture"
"132",9073,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"40",30,"4","4","Looting"
"133",9074,"Survey","Uncertain Mound","Pasture","Pasture",2010-10-26,"20",20,"2","5","Construction"
"134",9075,"Survey","Uncertain Mound","Pasture","Pasture",2010-10-26,"20",20,"2","5","Construction"
"135",9076,"Legacy verification","Burial Mound","Pasture","Scrub",2010-10-26,"80",80,"3","5","Looting"
"136",9077,NA,"Uncertain Mound","Scrub","Scrub",2010-10-26,"40",30,"2.5","5",NA
"137",9078,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",40,"2","5","Agriculture"
"138",9079,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-26,"30",30,"3","4","Looting"
"139",9080,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"60",60,"1.5","5","Agriculture"
"140",9081,"Survey","Uncertain Mound","Annual agriculture","Scrub",2010-10-26,"15",15,"0.5","4","Looting"
"141",9082,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-26,"30",25,"1.5","3","Construction"
"142",9083,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",35,"2","5","Agriculture"
"143",9084,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-10-26,"35",20,"0.5","5","Agriculture"
"144",9085,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"50",35,"0.4","5","Agriculture"
"145",9086,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-26,"15",10,"2","5","Agriculture"
"146",9087,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-26,"30",25,"1","5","Agriculture"
"147",9088,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-27,"38",38,"4.5","1","Looting"
"148",9089,NA,"Burial Mound","Pasture","Pasture",2010-10-27,"15",15,"1","1",NA
"149",9090,NA,"Burial Mound","Pasture","Pasture",2010-10-27,"10",10,"0.5","3",NA
"150",9091,NA,"Burial Mound","Pasture","Pasture",2010-10-27,"20",15,"1.5","4",NA
"151",9092,NA,"Burial Mound","Pasture","Pasture",2010-10-27,"35",25,"2","3",NA
"152",9093,NA,"Burial Mound","Pasture","Pasture",2010-10-27,"20",20,"1.5","4",NA
"153",9094,NA,"Burial Mound","Pasture","Pasture",2010-10-27,"40",40,"2","4",NA
"154",9095,NA,"Burial Mound","Annual agriculture","Annual agriculture",2010-10-27,"30",25,"1.5","3",NA
"155",9096,NA,"Burial Mound","Annual agriculture","Annual agriculture",2010-10-27,"40",40,"1.5","3",NA
"156",9097,NA,"Extinct Burial Mound","Annual agriculture","Pasture",2010-10-27,"20",10,"2","5",NA
"157",9098,NA,"Uncertain Mound","Annual agriculture",NA,2010-10-27,"40",40,"0.3","5",NA
"158",9099,NA,"Burial Mound","Annual agriculture","Pasture",2010-10-27,"40",40,"6","4",NA
"159",9100,NA,"Burial Mound","Scrub","Scrub",2010-10-27,"25",20,"3","3",NA
"160",9101,NA,"Burial Mound","Annual agriculture","Scrub",2010-10-27,"20",20,"2","5",NA
"161",9102,NA,"Burial Mound","Annual agriculture","Scrub",2010-10-27,"20",20,"1.5","5",NA
"162",9103,NA,"Burial Mound","Annual agriculture","Annual agriculture",2010-10-27,"20",20,"1.5","3",NA
"163",9104,NA,"Burial Mound","Scrub","Pasture",2010-10-27,"30",25,"3","5",NA
"164",9105,NA,"Burial Mound","Annual agriculture","Pasture",2010-10-27,"30",30,"2","5",NA
"165",9106,NA,"Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-27,"40",40,"0.5","5",NA
"166",9107,NA,"Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-27,"25",20,"1","5",NA
"167",9108,NA,"Burial Mound","Annual agriculture","Pasture",2010-10-27,"30",20,"2","4",NA
"168",9109,NA,"Burial Mound","Annual agriculture","Annual agriculture",2010-10-27,"40",40,"1.5","3",NA
"169",9110,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-27,"60",60,"6","4","Looting"
"170",9111,"Survey","Uncertain Mound","Pasture","Pasture",2010-10-28,"30",20,"4","5","Construction"
"171",9112,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-28,"40",40,"1.5","4","Agriculture"
"172",9113,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-28,"30",30,"0.8","4","Agriculture"
"173",9114,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",2010-10-28,"30",30,"1.5","4","Agriculture"
"174",9115,"Survey","Extinct Burial Mound","Pasture","Pasture",2010-10-28,"30",30,"1.5","4","Agriculture"
"175",9116,"Survey","Burial Mound","Pasture","Pasture",2010-10-28,"20",20,"0.6","5","Agriculture"
"176",9117,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-28,"40",20,"1.5","4","Agriculture"
"177",9118,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-10-28,"40",40,"1.5","4","Agriculture"
"178",9119,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"35",35,"1","4","Agriculture"
"179",9120,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"30",30,"0.5","5","Agriculture"
"180",9121,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"30",30,"0.5","5","Agriculture"
"181",9122,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-29,"25",25,"0.5","5","Agriculture"
"182",9123,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-29,"30",30,"2","4","Looting"
"183",9124,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-29,"25",25,"1.5","5","Looting"
"184",9125,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"30",20,"1","3","Looting"
"185",9126,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"40",40,"2.5","4","Looting"
"186",9127,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"25",25,"2","3","Looting"
"187",9128,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"28",28,"4.5","5","Looting"
"188",9129,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"50",50,"0.8","5","Agriculture"
"189",9130,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-10-31,"25",25,"1.5","2","road"
"190",9131,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"20",20,"4","3","Looting"
"191",9132,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"25",25,"2","2","Looting"
"192",9133,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-10-31,"15",15,"0.8","3","Looting"
"193",9135,"Legacy verification","Burial Mound","Forest","Scrub",2010-10-31,"30",30,"3.5","5","Looting"
"194",9136,"Legacy verification","Burial Mound","Forest","Scrub",2010-10-31,"40",40,"2","2","Looting"
"195",9137,"Legacy verification","Burial Mound","Forest","Scrub",2010-10-31,"50",50,"8","5","Looting"
"196",9138,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"40",50,"6","5","Looting"
"197",9139,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-31,"50",50,"7","5","Looting"
"198",9140,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-01,"40",40,"2","5","Looting"
"199",9141,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"25",30,"2","5","Agriculture"
"200",9142,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"20",20,"1.5","5","Agriculture"
"201",9143,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"1","5","Agriculture"
"202",9144,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"1","5","Agriculture"
"203",9145,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"20",20,"1","5","Agriculture"
"204",9146,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"5","5","Agriculture"
"205",9147,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"20",20,"0.5","5","Agriculture"
"206",9148,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"25",25,"2","5","Agriculture"
"207",9149,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"1","5","Agriculture"
"208",9150,"Survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"1","5","Agriculture"
"209",9151,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"3","4","Agriculture"
"210",9152,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"1","5","Agriculture"
"211",9153,"Survey","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"1.5","5","Agriculture"
"212",9154,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"4","5","Agriculture"
"213",9155,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-01,"25",25,"1.5","5","Looting"
"214",9156,"Survey","Burial Mound","Annual agriculture","Scrub",2010-11-01,"50",50,"8","4","Looting"
"215",9157,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-11-01,"30",30,"4","5","Looting"
"216",9158,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-01,"30",30,"2","5","Agriculture"
"217",9159,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"0.1","5","Agriculture"
"218",9160,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-01,"40",40,"0.1","5","Agriculture"
"219",9161,"Legacy verification","Burial Mound","Perennial agriculture","Perennial agriculture",2010-11-01,"15",15,"1","5","Agriculture"
"220",9162,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-01,"35",35,"2.5","5","Construction"
"221",9163,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-01,"30",30,"2.5","5","Looting"
"222",9164,"Survey","Burial Mound","Pasture","Scrub",2010-11-01,"35",35,"2","5","Looting"
"223",9165,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-01,"40",40,"6","4","Looting"
"224",9166,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-03,"30",30,"5","3","Construction"
"225",9167,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",2010-11-04,"40",40,"1","4","Agriculture"
"226",9168,"Survey","Uncertain Mound","Pasture","Pasture",2010-11-04,"35",20,"1.7","2","Construction"
"227",9169,"Survey","Burial Mound","Pasture","Pasture",2010-11-04,"40",35,"2.5","2","Construction"
"228",9170,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"50",50,"0.8","5","Agriculture"
"229",9171,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-04,"40",40,"2","4","Agriculture"
"230",9172,"Survey","Burial Mound","Pasture","Scrub",2010-11-04,"30",30,"3","5","Agriculture"
"231",9173,"Survey","Burial Mound","Pasture","Scrub",2010-11-04,"25",25,"2.5","2","Agriculture"
"232",9174,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-11-04,"35",35,"2.5","3","Agriculture"
"233",9175,"Legacy verification","Burial Mound","Annual agriculture","Scrub",2010-11-04,"40",40,"5","1","Agriculture"
"234",9177,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"45",45,"1.7","4","Looting"
"235",9178,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-11-04,"50",50,"0.4","5","Agriculture"
"236",9179,"Legacy verification","Burial Mound","Pasture","Pasture",2010-11-04,"50",50,"5","2","Looting"
"237",9180,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-04,"40",40,"3","2","Agriculture"
"238",9181,"Legacy verification","Burial Mound","Pasture","Scrub",2010-11-04,"60",60,"4","2","Anthropogenic"
"239",9182,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"25",25,"1.8","5","Agriculture"
"240",9183,"Survey","Uncertain Mound","Annual agriculture","Annual agriculture",NA,"20",20,"1.2","5","Agriculture"
"241",9184,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"35",35,"1.5","5","Agriculture"
