identifier,uuid.x,createdBy,Date,Type,Type_Adela,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn,uuid.y
8134,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.4331409,26.64800169,4697929.193,471046.8504,3,36,NA,West,NA,files/app/846e3460-f611-434d-8a4b-c5392a582236_image-1505288918697.original.jpg,1.8,35,NA,30,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,NA,3 - impaired,Looting,Unknown,"01,irregular,10,4, 1.5, manual excavation; 02,irregular,12,5,1.8, manual excavation",rubbish dumped directly next to mound western side,files/app/15e14626-c710-4da4-9649-d7159c896ce1_image-1506165129401.original.jpg - files/app/4c9d0013-0c85-48eb-8e12-2aec48a8ffbf_image-1505289040507.original.jpg - files/app/4d30565a-7b62-4a0c-ae49-cba9191f4d0a_image-1505289073500.original.jpg,POINT(471046.850444 4697929.193262),10000215052899998e17
8135,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.433734,26.65042959,4697994.225,471246.8257,3,37,NA,West,NA,files/app/c3c26d5d-787a-4bb3-87fb-62ec3f9d6653_image-1505289637638.original.jpg,1,25,NA,13,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,NA,5- none or nearly none,Looting,Unknown,"01, rectangle, 35,5,1, manual excavation",NA,files/app/255a1a0c-bcb6-4ed1-bdb1-10836c5a4cac_image-1505289696590.original.jpg - files/app/58a911b9-6131-4a2b-8224-031aaa3fe786_image-1506165168908.original.jpg,POINT(471246.825745 4697994.224684),10000215052899998e17
8136,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,"Northern edge of mound is dirt road, western edge agricultured, elevation marker on the top",Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.43184224,26.64428467,4697786.268,470740.5076,16,38,260.8,West,mound located on square with point,files/app/2e581e92-5ad5-455a-aadd-954ef81c18d7_image-1505290612153.original.jpg,1.8,45,NA,40,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Other,NA,2 - good,Other (specify in Annotation) (rubbish),Unknown,NA,rubbish on east side of mound,NA,POINT(470740.507581 4697786.267793),10000215052899998e17
8137,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Scrub,Pasture (grassland),Valley Bottom or Plain,42.41292503,26.64195044,4695686.559,470539.6489,3,39,NA,Southwest,at the edge of a dam full of water,files/app/db828a69-b8ff-492e-842e-4eafbc80048b_image-1505291928685.original.jpg,0.3,20,NA,15,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Construction,NA,5- none or nearly none,Not available,Unknown,NA,"covered with rubbish, next to dam",NA,POINT(470539.648914 4695686.559089),10000215052899998e17
8138,1.00E+18,Bara Weissova,13-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42336052,26.60915487,4696857.181,467846.5544,3,40,NA,South,NA,files/app/1c87354b-2bbc-4a56-a3a9-1b4800038969_image-1505294770409.original.jpg,0.3,40,NA,35,NA,NA,Artefact scatter,Pottery,No,Roman,files/app/1913d5c7-c012-4a43-9d7c-310ad3d41469_image-1505294687576.original.jpg,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(467846.554421 4696857.181172),10000215052899998e17
8139,1.00E+18,Bara Weissova,13-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,levelled in 70th of the 20th century based on local informant,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.42389498,26.60477211,4696918.195,467486.276,3,41,NA,East,NA,files/app/703e3e67-f9f8-49f8-82c1-3b2cae3301c4_image-1505296249810.original.jpg,0,0,0,0,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Construction,NA,5- none or nearly none,Not available,NA,NA,NA,NA,POINT(467486.276025 4696918.194782),1.00E+33
8140,1.00E+18,Bara Weissova,13-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Upper slope,42.43780573,26.59530396,4698466.478,466714.7315,3,NA,NA,West,NA,files/app/16e8eb06-4231-43c7-8386-2f4aefb6f10c_image-1505297466954.original.jpg,0,0,0,0,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Construction,NA,5- none or nearly none,Infrastructure,Unknown,NA,NA,NA,POINT(466714.731518 4698466.478464),1.00E+33
8142,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,elevation marker on top,Pasture (grassland),Pasture (grassland),Hilltop,42.443048,26.600645,4698742.867,467084.7756,3,42,217.6,West,NA,files/app/8a1d9f84-8b56-4811-b808-145f22190e68_image-1505298828371.original.jpg,4,40,NA,35,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Looting,NA,2 - good,Looting,Unknown,"01,irregular, 4,8,1.5, manual excavation; 02, irregular, 1.5, 0.5, manual excavation; 03,irregular, 2,3, 0.5, manual excavation; 04, irregular, 13,6, 4, likely made by machine; 05, irregular, 10,4, 4, likely made by machine; 06,irregular, 2.5, 0.5, manual excavation",NA,files/app/3a6f3323-f5bd-4e49-ab52-212f3eccc201_image-1505298760483.original.jpg - files/app/4b1ffadf-077e-405a-970d-8cf49bc38f8e_image-1505308475116.original.jpg,POINT(467084.775578 4698742.866633),1.00E+33
8143,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.44751947,26.60218398,4699542.395,467285.6518,3,44,NA,Southeast,NA,files/app/cbec368c-8018-46c7-bf20-164484c3de9a_image-1505299861789.original.jpg,0.8,50,NA,50,NA,NA,Loose artefacts,NA,No,Roman,files/app/2b50adbf-bd5e-4a5f-8538-13d8798d53d0_image-1505300037557.original.jpg,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(467285.651755 4699542.395175),1.00E+33
8145,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,Covered with old vineyard,Perennial agriculture (e.g orchard or vineyard),Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.5965278,26.72147963,4716049.069,477150.2832,3,45,149.8,South,along Pleistocene lake,files/app/856cc811-90aa-4dec-ac33-a7d5e2abd7fb_image-1505369079463.original.jpg,3.5,60,NA,50,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,2 - good,Agriculture,Unknown,NA,NA,NA,POINT(477150.283247 4716049.069219),10000215053700002e17
8146,1.00E+18,Bara Weissova,14-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,Destroyed by agriculture,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.59699836,26.7190011,4716101.992,476947.1194,3,46,NA,South,on the shore of a Pleistocene lake,files/app/29ab1361-c116-4ddc-aa75-c473b7766fce_image-1505369790704.original.jpg,0,0,NA,NA,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(476947.119423 4716101.991995),10000215053700002e17
8147,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,"Used to be vineyard, evidence of poles, Southern side pipe for irrigation, elevation marker on top of mound",Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.5936338,26.73741899,4715723.538,478456.9475,3,47,152.9,South,on the shore of Pleistocene lake,files/app/ac60339f-7740-46cd-9b3e-60527b1c37c5_image-1505371382987.original.jpg,3.5,60,NA,50,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,Animal Activity,2 - good,Animal activity,Last month,NA,NA,NA,POINT(478456.947537 4715723.538442),10000215053700002e17
8148,1.00E+18,Bara Weissova,14-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.59463523,26.73132482,4715836.307,477957.3135,3,48,NA,South,on the shore of Pleistocene lake,files/app/6ee8fccc-53d0-41c7-beab-e0f94c65d094_image-1505372585434.original.jpg,0,0,NA,0,NA,Looks more like embankment of lake than a burial mound,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(477957.313471 4715836.306785),10000215053700002e17
8149,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,Mound called Lozenska Mogila,Annual agriculture,Scrub,Valley Bottom or Plain,42.56532207,26.70678897,4712588.046,475933.0677,3,49,157.8,East,NA,files/app/0dc5a513-3b59-4772-a540-9d49566b36f8_image-1505377016100.original.jpg,3,36,NA,30,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,animal activity,2 - good,Animal activity,Last year,"01,rectangular, 3, 3, 1; 02, rectangular, 4, 2, 0.5; 03, irregular, 2, 3, 0.3; 04, irregular, 20, 5, 4, excavated by machine; 05, irregular, 8, 3, 1","Even though there are a large number of robbers trenches, it does not appear that they reached the grave.",files/app/a5848370-cbe0-456d-a7df-43de9a337544_image-1505376613156.original.jpg - files/app/c57c67d2-8c9b-40cb-87e9-b0c7138445af_image-1505377205451.original.jpg,POINT(475933.067678 4712588.046267),10000215053799999e17
8150,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,"Kirchova Mogila, next to highway",Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.55779069,26.70574259,4711752.06,475844.2747,3,50,153.4,Northeast,NA,files/app/d4f48f4c-0af9-4adc-ae8a-4504e46ff6f9_image-1505378352557.original.jpg,1.5,60,NA,55,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(475844.274737 4711752.060217),10000215053799999e17
8151,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.56838646,26.71562174,4712925.844,476659.209,3,51,NA,North,NA,files/app/b7b5c3aa-4e34-4078-95b5-973b4a55d3ea_image-1505379878542.original.jpg,0.8,55,NA,50,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(476659.208968 4712925.844047),10000215053799999e17
8152,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,Lighter soil mark compared to the surrounding area,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.57042774,26.72944384,4713148.792,477794.4048,3,52,NA,Northeast,NA,files/app/d99126d2-7695-4aa6-a6c5-300a5dc7fa98_image-1505381666344.original.jpg,1,40,NA,35,NA,NA,Loose artefacts,Roman pottery,No,Roman,files/app/6c2fdb10-ecb7-45d7-9ea7-8b0694122553_image-1505381545859.original.jpg,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(477794.404802 4713148.79162),10000215053799999e17
8153,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.5765862,26.69620376,4713841.878,475068.7127,3,53,145.8,North,NA,files/app/8b65ec24-b546-446b-a3c7-a4f59d5376ef_image-1505383050529.original.jpg,0.8,60,NA,55,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(475068.712664 4713841.878012),10000215053799999e17
8154,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,"Karaybryamska Mogila, massive elevation marker on top",Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.59585691,26.66852819,4715990.224,472805.87,3,54,157,Northwest,NA,files/app/f40c1cef-b1ef-40be-9eb0-8dbd83ea45d7_image-1505385087834.original.jpg,1,60,NA,55,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(472805.869956 4715990.223804),10000215053799999e17
8155,1.00E+18,Bara Weissova,14-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.61255764,26.6897997,4717838.072,474557.7939,3,55,NA,North,NA,files/app/9642b5ff-13a9-4ed8-ad36-b1455655d851_image-1505387508222.original.jpg,0,0,NA,0,NA,NA,Artefact scatter,Some pottery possibly Roman,No,Roman,files/app/df6d0cbd-f161-4bc6-bfe4-d79ce5be4934_image-1505387399630.original.jpg,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last month,NA,NA,NA,POINT(474557.793857 4717838.071988),10000215053899996e17
8156,1.00E+18,Bara Weissova,14-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.61120343,26.69773316,4717685.344,475207.9494,3,56,NA,Northeast,NA,files/app/5e1f9376-d103-44ad-bd7a-e42de834bb5c_image-1505388327858.original.jpg,0.8,60,NA,60,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(475207.949372 4717685.343928),10000215053899996e17
8157,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37328677,26.69571289,4691268.015,474947.473,3,57,NA,Northwest,NA,files/app/c358fe20-e9a1-46b6-a84e-6b5dcea78cc0_image-1505455504421.original.jpg,0.8,40,NA,50,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(474947.473013 4691268.014998),10000215054599998e17
8158,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Hilltop,42.40829294,26.76341679,4695137.247,480532.486,3,58,305.4,Northwest,NA,files/app/d7ec04ff-922b-4b10-a05a-09217bb3ed6e_image-1505457951341.original.jpg,1,35,NA,30,NA,NA,NA,NA,No,NA,NA,1 - pristine,No observation,NA,1 - full,NA,NA,NA,NA,NA,POINT(480532.486032 4695137.247436),10000215054599998e17
8159,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.37047526,26.73536244,4690944.913,478210.9253,3,59,NA,Southwest,NA,files/app/8c2ab632-58eb-411e-97a4-9f2eba1c91d3_image-1505460720600.original.jpg,2.5,35,NA,25,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,animal activity,3 - impaired,Animal activity,Last month,"01,irregular, 30,10, 3, machine excavation with soil dumped next to mound; 02, square, 2, 2, 1, manual excavation",NA,files/app/21618e54-8eca-46c3-b6df-632e8ba2b0d3_image-1505460388347.original.jpg - files/app/b8527e18-f4a0-4422-b9f6-5bb9fe2ba148_image-1505460558978.original.jpg,POINT(478210.925311 4690944.913238),10000215054599998e17
8160,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.37600317,26.71720424,4691563.525,476717.9008,3,60,NA,Northwest,NA,files/app/49abf0f5-dc3a-42ec-a4a0-733626ec0459_image-1505462981418.original.jpg,3.5,40,NA,40,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Animal activity,NA,2 - good,Animal activity,Last month,NA,one animal hole. otherwise no signs of damage.,NA,POINT(476717.900849 4691563.524562),10000215054599998e17
8161,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,so overgrown with scrub we can''t go on top,Annual agriculture,Scrub,Valley Bottom or Plain,42.37449717,26.72053662,4691395.397,476991.7006,3,61,NA,Southeast,NA,files/app/b7bf3fe9-04ca-4450-a489-2784bd766424_image-1505463948655.original.jpg,2,50,NA,45,NA,NA,NA,NA,No,NA,NA,0 - No observation,No observation,NA,No observation,Unknown,Unknown,NA,NA,NA,POINT(476991.700618 4691395.396565),10000215054599998e17
8162,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Survey,on the top a rectangular grave,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.36930615,26.71274814,4690821.143,476348.5253,3,62,NA,West,NA,files/app/f5c945a4-de4e-43cc-98ed-b757806f54c4_image-1505465657134.original.jpg,0.8,60,NA,50,NA,NA,Other,rectangular grave from stone slabs on top,No,NA,files/app/2488f506-b8a2-4b83-8508-37ac316ba0c4_image-1505465468348.original.jpg - files/app/2b14e8e0-ec92-48fd-bcdc-5f319bcde18b_image-1505465493760.original.jpg,4 - seriously damaged,Looting,agriculture,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(476348.525262 4690821.142819),1.00E+33
8163,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35961469,26.70182631,4689748.137,475445.4795,3,63,NA,Northwest,NA,files/app/7fa260d6-3ce4-4082-9414-d0f0ce6aa0fd_image-1505469549521.original.jpg,0.5,60,NA,55,NA,NA,NA,"1 body sherd, most likely Roman",No,Roman,NA,4 - seriously damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(475445.479473 4689748.137229),1.00E+33
8165,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,very shallow RTs that do not damage the mound on top.,Annual agriculture,Scrub,Valley Bottom or Plain,42.35268841,26.7077687,4688977.372,475932.1906,3,64,NA,West,NA,files/app/c5b43097-d040-43e5-85c5-65cbef545766_image-1505471326768.original.jpg,4.5,50,NA,50,NA,NA,Loose artefacts,material may not be from this mound as the mound is not too disrupted. potential extinct mound next to this one?,No,Roman,files/app/e0b4b96b-2751-4e55-8150-d56e96b6a2d4_image-1505471535071.original.jpg,2 - minor damage,Animal activity,NA,1 - full,Animal activity,Last year,NA,NA,NA,POINT(475932.190649 4688977.372107),1.00E+33
8166,1.00E+18,Bara Weissova,15-Sep,Surface Scatter,Surface Scatter,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.35249345,26.70805699,4688955.643,475955.8599,3,65,NA,Northwest,NA,files/app/37b8c029-20d7-467b-bbfe-c76bc8e02332_image-1505471728356.original.jpg,0,0,NA,0,NA,NA,Artefact scatter,Roman pottery,No,Roman,files/app/3415830a-b7f8-4118-8383-8474651eec51_image-1505471887535.original.jpg - files/app/f6eec8f9-4b0b-405c-803c-c365000b3299_image-1505472000135.original.jpg,0 - No observation,Agriculture,NA,Other,Agriculture,Last month,NA,NA,NA,POINT(475955.859897 4688955.643042),1.00E+33
8167,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.35265752,26.69371402,4688978.016,474774.6515,3,66,NA,North,NA,files/app/ebda5c1c-f108-4f47-939d-c0469cdbb648_image-1505473078226.original.jpg,2,40,NA,40,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(474774.651533 4688978.015829),1.00E+33
8168,1.00E+18,Bara Weissova,15-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.35318871,26.69436062,4689036.805,474828.1169,3,67,NA,West,NA,files/app/ca848411-0aa8-4a8c-93f1-93c99855ae10_image-1505473498880.original.jpg,5,60,NA,50,NA,look at satellite,NA,NA,No,NA,NA,2 - minor damage,Animal activity,NA,1 - full,Animal activity,Last month,NA,3 animal holes around top,NA,POINT(474828.116895 4689036.805401),1.00E+33
