TRAP,TopoID,BLG_Name,Source,SomethingPresentOntheGround,Notes,Date,Excav,Certainty,Length,Width,Height,RT_number,CRM,Necropolis,Landuse_AroundRS,Landuse_TopRS,
9076,200137,0,TOPO50,mound,"on the top of the hill, land around was upside down, destroyed by the robbers",26-Oct,NO,CR,80,80,3,3,5,0,Scrub,Scrub,
9077,200128,Marashka,TOPO50,mound,"2 RTs on the mound, 3 under, they may be looking for carriage around",26-Oct,NO,CR,40,30,2.5,5,5,0,Scrub,Scrub,
9078,200122,Karaivanova,TOPO50,mound,"destroyed by agriculture, 2 thracian shards, 1 point of scatter of thracian pottery western from the mound",26-Oct,NO,CR,50,40,2,None,5,NO,Annual agriculture,Annual agriculture,
9079,200925,Kamenna mogila,TOPO50,mound,"in the middle of the field, cowered by shrubs",26-Oct,NO,CR,30,30,3,1,4,"9080, 9081",Annual agriculture,Scrub,
9080,0,0,GC,mound,destroyed by agriculture,26-Oct,NO,CR,60,60,1.5,None,5,"9079, 9081",Annual agriculture,Annual agriculture,
9081,0,0,GC,mound,"in the middle of the field, cowered by shrubs",26-Oct,NO,CR,15,15,0.5,1,4,"9079, 9080",Annual agriculture,Scrub,
9082,200127,0,TOPO50,mound,in the middle monument of Soviet army,26-Oct,NO,CR,30,25,1.5,None,3,0,Pasture,Pasture,
9083,200163,0,TOPO50,mound,iron construction on the top,26-Oct,NO,CR,50,35,2,None,5,0,Annual agriculture,Annual agriculture,
9084,0,0,GC,mound,concrete column in the middle,26-Oct,NO,UN,35,20,0.5,None,5,0,Annual agriculture,Annual agriculture,
9085,200164,0,TOPO50,mound,destroyed by agriculture,26-Oct,NO,CR,50,35,0.4,None,5,0,Annual agriculture,Annual agriculture,
9086,200168,0,TOPO50,mound,well 1 x 1 x 1 in the middle,26-Oct,NO,CR,15,10,2,1,5,0,Annual agriculture,Pasture,
9087,200167,0,TOPO50,mound,shrubs on it,26-Oct,NO,CR,30,25,1,None,5,0,Annual agriculture,Annual agriculture,
9088,0,Ovchi Kladenets,GC,mound,0,27-Oct,NO,CR,38,38,4.5,1,1,0,Annual agriculture,Scrub,
9089,0,0,GC,mound,0,27-Oct,NO,CR,15,15,1,None,1,"9090, 9091",Pasture,Pasture,
9090,200102,0,TOPO50,mound,0,27-Oct,NO,CR,10,10,0.5,1,3,"9089, 9091",Pasture,Pasture,
9091,0,0,GC,mound,0,27-Oct,NO,CR,20,15,1.5,2,4,"9089, 9090",Pasture,Pasture,
9092,0,0,GC,mound,lot of small RTs on the West,27-Oct,NO,CR,35,25,2,2,3,0,Pasture,Pasture,
9093,200106,0,TOPO50,mound,0,27-Oct,NO,CR,20,20,1.5,1,4,9094,Pasture,Pasture,
9094,0,0,GC,mound,0,27-Oct,NO,CR,40,40,2,3,4,9093,Pasture,Pasture,
9095,0,0,GC,mound,0,27-Oct,NO,CR,30,25,1.5,None,3,9096,Annual agriculture,Annual agriculture,
9096,200105,0,TOPO50,mound,0,27-Oct,NO,CR,40,40,1.5,None,3,9095,Annual agriculture,Annual agriculture,
9097,200104,0,TOPO50,mound,"small rest of mnd, part of huge rounded structure with 2 holes hut into terrain,1 pile of stones",27-Oct,NO,CR,20,10,2,None,5,0,Annual agriculture,Pasture,
9098,200103,0,TOPO50,mound,near pile of worked stones,27-Oct,NO,CR,40,40,0.3,None,5,0,Annual agriculture,Other,
9099,0,0,GC,mound,strange that it's not in map because of it's measures,27-Oct,NO,CR,40,40,6,2,4,0,Annual agriculture,Pasture,
9100,200874,0,TOPO50,mound,,27-Oct,NO,CR,25,20,3,1,3,"9101, 9102, 9103, 9104",Scrub,Scrub,
9101,0,0,GC,mound,0,27-Oct,NO,CR,20,20,2,1,5,"9100, 9102, 9103, 9104",Annual agriculture,Scrub,
9102,0,0,GC,mound,0,27-Oct,NO,CR,20,20,1.5,2,5,"9100, 9101, 9103, 9104",Annual agriculture,Scrub,
9103,200872,0,TOPO50,mound,1 huge RT 6 x 5 x 1.5 furher from the mound,27-Oct,NO,CR,20,20,1.5,1,3,"9100, 9101, 9102, 9104",Annual agriculture,Annual agriculture,
9104,200873,0,TOPO50,mound,0,27-Oct,NO,CR,30,25,3,2,5,"9100, 9101, 9102, 9103",Scrub,Pasture,
9105,200878,0,TOPO50,mound,0,27-Oct,NO,CR,30,30,2,5,5,9106,Annual agriculture,Pasture,
9106,0,0,GC,mound,0,27-Oct,NO,CR,40,40,0.5,None,5,9105,Annual agriculture,Annual agriculture,
9107,200877,0,TOPO50,mound,0,27-Oct,NO,CR,25,20,1,None,5,,Annual agriculture,Annual agriculture,
9108,200876,0,TOPO50,mound,0,27-Oct,NO,CR,30,20,2,1,4,,Annual agriculture,Pasture,
9109,200027,0,TOPO50,mound,0,27-Oct,NO,CR,40,40,1.5,None,3,0,Annual agriculture,Annual agriculture,
9110,200118,0,TOPO50,mound,lot of holes done by animals,27-Oct,NO,CR,60,60,6,2,4,0,Annual agriculture,Pasture,
9111,0,0,GC,mound,"2 hills next to each other, in both waterhouse, this one looks like mound",28-Oct,NO,UN,30,20,4,None,5,0,Pasture,Pasture,
9112,200545,0,TOPO50,mound,0,28-Oct,NO,CR,40,40,1.5,None,4,"9113, 9114, 9115, 9116, 9117, 9118",Annual agriculture,Annual agriculture,
9113,200544,0,TOPO50,mound,,28-Oct,NO,CR,30,30,0.8,None,4,"9112, 9113, 9115, 9116, 9117, 9118",Annual agriculture,Annual agriculture,
9114,200542,0,TOPO50,mound,,28-Oct,NO,CR,30,30,1.5,None,4,"9112, 9114, 9115, 9116, 9117, 9118",Annual agriculture,Annual agriculture,
9115,0,0,GC,mound,,28-Oct,NO,CR,30,30,1.5,None,4,"9112, 9113, 9114, 9116, 9117, 9118",Annual agriculture,Annual agriculture,
9116,0,0,GC,mound,,28-Oct,NO,CR,20,20,0.6,None,5,"9112, 9113, 9114, 9115, 9117, 9118",Annual agriculture,Annual agriculture,
9117,200543,0,TOPO50,mound,,28-Oct,NO,CR,40,20,1.5,None,4,"9112, 9113, 9114, 9115, 9116, 9118",Annual agriculture,Annual agriculture,
9118,0,0,GC,mound,,28-Oct,NO,CR,40,40,1.5,None,4,"9112, 9113, 9114, 9115, 9116, 9117",Annual agriculture,Annual agriculture,
9119,200344,0,TOPO50,mound,"rests of stony construction on the top of the mound, stones 20x40",29-Oct,NO,CR,35,35,1,None,4,"9120, 9121, 9122, 9123, 9124",Annual agriculture,Annual agriculture,
9120,0,0,GC,mound,,29-Oct,NO,CR,30,30,0.5,None,5,"9119, 9121, 9122, 9123, 9124",Annual agriculture,Annual agriculture,
9121,0,0,GC,mound,,29-Oct,NO,CR,30,30,0.5,None,5,"9119, 9120, 9122, 9123, 9124",Annual agriculture,Annual agriculture,
9122,0,0,GC,mound,,29-Oct,NO,CR,25,25,0.5,None,5,"9119, 9120, 9121, 9123, 9124",Annual agriculture,Annual agriculture,
9123,200342,Starata Korija,TOPO50,mound,W - E ditch through all mound,29-Oct,NO,CR,30,30,2,2,4,"9119, 9120, 9121, 9122, 9124",Scrub,Scrub,
9124,200343,0,TOPO50,mound,,29-Oct,NO,CR,25,25,1.5,1,5,"9119, 9120, 9121, 9122, 9123",Scrub,Scrub,
9125,200328,0,TOPO50,mound,Roman pottery and AC,31-Oct,NO,CR,30,20,1,2,3,0,Annual agriculture,Pasture,
9126,200329,0,TOPO50,mound,no structure to be seen in the RT on the top,31-Oct,NO,CR,40,40,2.5,1,4,0,Scrub,Pasture,
9127,200330,0,TOPO50,mound,"Pottery is very fragmentated, not datable",31-Oct,NO,CR,25,25,2,1,3,0,Pasture,Pasture,
9128,200324,0,TOPO50,mound,"no structures or finds, 1/2 of the mound (N face) was taken by excavator",31-Oct,NO,CR,28,28,4.5,4,5,0,Annual agriculture,Scrub,
9129,0,0,TOPO50,mound,some undatable pottery,1-Nov,NO,CR,50,50,0.8,None,5,0,Annual agriculture,Annual agriculture,
9130,200323,0,TOPO50,mound,Eastern part destroyed by dirt road,31-Oct,NO,CR,25,25,1.5,None,2,0,Annual agriculture,Scrub,
9131,200325,0,TOPO50,mound,"NW section destroyed by excavator, single fts of pottery, not datable ",31-Oct,NO,CR,20,20,4,None,3,0,Annual agriculture,Scrub,
9132,200331,0,TOPO50,mound,1 bioturbation in the N part of the trench,31-Oct,NO,CR,25,25,2,1,2,0,Scrub,Pasture,
9133,200392,Gyulev vrah,TOPO50,mound,"situated in a dense bush, probably a stone structure",31-Oct,NO,CR,15,15,0.8,1,3,0,Annual agriculture,Pasture,
9134,200385,0,TOPO50,robber trenches,"sunburst symbol in scrub/forest; site not found, eliminated?, no material in all trenches, dimensions not ascertainable, predates 2003",31-Oct,NO,CR,NA,NA,2 acc to topomap,4,4,0,Scrub,Scrub,
9135,200384,0,TOPO50,mound,"Grave structure, destroyed",31-Oct,NO,CR,30,30,3.5,1,5,0,Scrub,Scrub,
9136,200391,0,TOPO50,mound,0,31-Oct,NO,CR,40,40,2,1,2,0,Scrub,Scrub,
9137,200390,0,TOPO50,mound,"Tunnel with vaulted ceiling, huge RTs",31-Oct,NO,CR,50,50,8,4,5,0,Scrub,Scrub,
9138,200389,0,TOPO50,mound,"Looks like camel, 2 military trenches, E and S bioturbation",31-Oct,NO,CR,40,50,6,3,5,0,Pasture,Pasture,
9139,200388,0,TOPO50,mound,,31-Oct,NO,CR,50,50,7,4,5,0,Pasture,Pasture,
9140,200393,0,TOPO50,mound,"fragments of unidentified pottery, SW part of the mound taken by excavator, grave probably robbed",1-Nov,NO,CR,40,40,2,None,5,0,Pasture,Scrub,
9141,200528,0,TOPO50,mound,stratigraphy visible on the surface,1-Nov,NO,CR,25,30,2,None,5,"9129, 9142, 9143, 9144, 9145, 9146, 9147, 9148, 9149, 9149, 9151",Annual agriculture,Annual agriculture,
9142,0,0,GC,mound,stratigraphy visible on the surface,1-Nov,NO,CR,20,20,1.5,None,5,"9129, 9141, 9143, 9144, 9145, 9146, 9147, 9148, 9149, 9150, 9151",Annual agriculture,Annual agriculture,
9143,0,0,GC,mound,"stratigraphy visible on the surface, pottery to fragmentated to be datable",1-Nov,NO,CR,30,30,1,None,5,"9129, 9141, 9142, 9144, 9145, 9146, 9147, 9148, 9149, 9150, 9151",Annual agriculture,Annual agriculture,
9144,0,0,GC,mound,stratigraphy visible on the surface,1-Nov,NO,CR,30,30,1,None,5,"9129, 9141, 9142, 9143, 9145, 9146, 9147, 9148, 9149, 9150, 9151",Annual agriculture,Pasture,
9145,0,0,GC,mound,"stratigraphy visible on the surface, traces of cremations visible on the surface",1-Nov,NO,CR,20,20,1,None,5,"9129, 9141, 9142, 9143, 9144, 9146, 9147, 9148, 9149, 9150, 9151",Annual agriculture,Annual agriculture,
9146,0,0,GC,mound,stratigraphy visible on the surface,1-Nov,NO,CR,40,40,5,None,5,"9129, 9141, 9142, 9143, 9144, 9145, 9147, 9148, 9149, 9150, 9151",Annual agriculture,Annual agriculture,
9147,0,0,GC,mound,stratigraphy visible on the surface,1-Nov,NO,CR,20,20,0.5,None,5,"9129, 9141, 9142, 9143, 9144, 9145, 9146, 9148, 9149, 9150, 9151",Annual agriculture,Annual agriculture,
9148,0,0,GC,mound,stratigraphy visible on the surface,1-Nov,NO,CR,25,25,2,None,5,"9129, 9141, 9142, 9143, 9144, 9145, 9146, 9147, 9149, 9150, 9151",Annual agriculture,Annual agriculture,
9149,0,0,GC,mound,"stratigraphy visible on the surface, Roman AC",1-Nov,NO,CR,40,40,1,None,5,"9129, 9141, 9142, 9143, 9144, 9145, 9146, 9147, 9148, 9150, 9151",Annual agriculture,Annual agriculture,
9150,0,0,GC,mound,stratigraphy visible on the surface,1-Nov,NO,CR,40,40,1,None,5,"9129, 9141, 9142, 9143, 9144, 9145, 9146, 9147, 9148, 9149, 9151",Annual agriculture,Annual agriculture,
9151,200529,0,TOPO50,mound,stratigraphy visible on the surface,1-Nov,NO,CR,30,30,3,1,4,"9129, 9141, 9142, 9143, 9144, 9145, 9146, 9147, 9148, 9149, 9150",Annual agriculture,Pasture,
9152,0,0,GC,mound,totally ploughed,1-Nov,NO,UN,40,40,1,None,5,0,Annual agriculture,Annual agriculture,
9153,200523,TOPO number suspicious only one Topo ID in the map ? Topo ID needs deletion adn skipping,TOPO50,mound,totally ploughed,1-Nov,NO,UN,30,30,1.5,None,5,0,Annual agriculture,Annual agriculture,
9154,0,0,GC,mound,stratigraphy visible,1-Nov,NO,CR,40,40,4,1,5,0,Annual agriculture,Scrub,
9155,200522,0,TOPO50,mound,"1 big RT on the top of the mound, shape is altered by dug out material, spread over it",1-Nov,NO,CR,25,25,1.5,1,5,0,Forest,Scrub,
9156,200531,0,TOPO50,mound,strange way of placing RTs - these are all around the top of the mound,1-Nov,NO,CR,50,50,8,2,4,0,Annual agriculture,Forest,
9157,0,0,GC,mound,0,1-Nov,NO,CR,30,30,4,3,5,0,Scrub,Scrub,
9158,200519,0,TOPO50,mound,totally ploughed,1-Nov,NO,CR,30,30,2,None,5,0,Annual agriculture,Annual agriculture,
9159,0,0,GC,mound,"totally ploughed, just visible lighter pattern on the soil",1-Nov,NO,UN,40,40,0.1,None,5,0,Annual agriculture,Annual agriculture,
9160,0,0,GC,mound,"totally ploughed, just visible lighter pattern on the soil",1-Nov,NO,UN,40,40,0.1,None,5,0,Annual agriculture,Annual agriculture,
9161,200897,0,TOPO50,mound,0,1-Nov,NO,CR,15,15,1,None,5,0,Pasture,Pasture,
9162,200913,0,TOPO50,mound,W part of the mound destroyed by excavator,1-Nov,NO,CR,35,35,2.5,None,5,0,Scrub,Scrub,
9163,200377,0,TOPO50,mound,ca 40cm under surface stone structure or layer,1-Nov,NO,CR,30,30,2.5,1,5,0,Scrub,Scrub,
9164,0,0,GC,mound,old trenches,1-Nov,NO,CR,35,35,2,4,5,0,Scrub,Scrub,
9165,200376,0,TOPO50,mound,ca 40cm under surface stone structure or layer,1-Nov,NO,CR,40,40,6,1,4,0,Scrub,Scrub,
9166,200337,Goljam Monastir,TOPO50,mound,"Northern part of the mound taken by fence, located exactly in the village",3-Nov,NO,CR,30,30,5,None,3,0,Urban,Scrub,
9167,0,0,GC,mound,Modern scatern AC,4-Nov,NO,CR,40,40,1,None,4,0,Annual agriculture,Annual agriculture,
9168,0,0,GC,mound,Necropolis Bezmer,4-Nov,NO,CR,35,20,1.7,None,2,"9169,9170, 9171, 9172, 9173, 9174, 9175, 9176  ",Pasture,Pasture,
