TopoID,Notes,LU_Around,LU_top,RS_Status,RS_feature_type,Source,Length,Width,AtlasHeight,Atlas_page,RT_number,CRM,Elevation,Needs_GC,AS_feedback,RS_note,2001,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Stephanie_Notes,Honza_Notes,Tatjana_Notes
200012,,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,15,15,1,p.3,"uncertain, smudged",5,,,LU ok,spot on the ground some 10m north of the point and a moundlike feature ca 350m to the south,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",,,,Soil marks/crop marks visible however different to what identified in the RS 30m n in 2016; 40m sw,,
200014,mound next to reservoir clearly visible in 2004,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Other,Atlas of Yambol Mounds,35,32,4,p.3,oddity,NA,,,LU ok,odd structure! a square reservoir??,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200015,lots disturbances,Pasture,Pasture,"very uncertain = discrete crops, soil or shadowmark in the vicinity (within possible precision error), but not certain",Other,Atlas of Yambol Mounds,10,3,2,p.3,6 tank emplacements,NA,,,LU ok,tank emplacement,,,,,,,,,X - no new capture this year,,,,,,,,
200017,looks like a nice mound,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,35,35,1,p.3,1-2?,2,,,LU ok,"bingo, mound",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200029,,Scrub,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Russian topo maps,25,25,2,,,,,,LU ok,,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",? = maybe something unsure,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200034,,Scrub,Scrub,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,,NA,,,LU ok,FP,,,,,,,,,X - no new capture this year,,,,,,,,
200035,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.3,"uncertain, smudged",NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016, but a moundlike feature 230m at 260degrees",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200039,,Scrub,Scrub,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016",,,,,,,,,X - no new capture this year,,,,,,,,
200044,,Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,30,30,2,p.3,seems disrupted,3,,,LU ok,mound on top of bluff,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"$$ = yes, visible but in different form than indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,Site appears to have changed significantly over time,,
200045,thoroughly excavated or removed,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark and cropmark,Atlas of Yambol Mounds,60,60,3,excavated,NA,5,,,LU ok,spot in the field - a low or extinct mound,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,? = maybe something unsure,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200046,thoroughly excavated or removed,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,50,40,1,excavated,NA,5,,,LU ok,spot in the field - a low or extinct mound,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,2013-2014 site changed perhaps excavated?,,
200047,"extinct, modern buildings on top",Urban,Urban,unverifiable: RS impossible,Other,Russian topo maps,NA,NA,NA,p.3,lots of tank emplacements 100 to the East,NA,,,LU ok,"not in Atlas, not in GE, must have marked a different kind of feature",,,,,,,,,X - no new capture this year,,,,,,,,
200048,,Urban,Urban,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,,NA,,,LU ok,,X - no new capture this year,X - no new capture this year,X - no new capture this year,,X - no new capture this year,,,,X - no new capture this year,,,,X - no new capture this year,X - no new capture this year,Nothing visable,,
200049,"round crater on top 6m across, looks excavated or looted",Pasture,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Cropmark,Atlas of Yambol Mounds,30,30,4,p.3,"one round 6m across, possibly more",3-4?,,,LU ok,"clear spot in a meadow, either excagvated or low mound",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200050,lots of soilmarks N of point,Annual,Annual,"very uncertain = discrete crops, soil or shadowmark in the vicinity (within possible precision error), but not certain",Soilmark,Atlas of Yambol Mounds,NA,NA,3,p.3,,NA,,,LU ok,FP,,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200051,,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Russian topo maps,14,14,NA,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,2 features? 47m e; 28m sw from point,,
200052,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2017",,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200053,60 m South a feature in the same field - a mound?,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,6,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2018",X - no new capture this year,? = maybe something unsure,X - no new capture this year,? = maybe something unsure,X - no new capture this year,? = maybe something unsure,? = maybe something unsure,"N = no, not visible this year",X - no new capture this year,? = maybe something unsure,? = maybe something unsure,? = maybe something unsure,X - no new capture this year,X - no new capture this year,2 perhaps features 30m s;60m s  ,,
200054,soilmark visible to SE of point,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,40,40,2,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2019",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,122m ne maybe mound?,,
200055,at the foot of a modern runway,Pasture,Pasture,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2020",,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200056,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2021",,,,,,,,,X - no new capture this year,,,,,,Nothing visible ,,
200057,next to a modern irrigation canal,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,34,20,2,p.3,disrupted,4?,,,LU ok,moundlike feature,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200058,,Urban,Urban,unverifiable: RS impossible,Other,Russian topo maps,NA,NA,NA,p.3,"extinct, buried by village",5,,,LU ok,,,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200059,mound 30m to E of point,Perennial,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,25,25,1,p.3,none visible in GE,2?,,,LU ok,mound,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200060,mound 30m to E of point,Perennial,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,34,34,3,p.3,none visible in GE,2?,,,LU ok,mound,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200061,"round clearing 20m diam 50m East of point, across the river and road",Perennial,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Soilmark and cropmark,Atlas of Yambol Mounds,20,20,3,p.3,none visible in GE,5,,,LU ok,spot on the ground,X - no new capture this year,? = maybe something unsure,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,X - no new capture this year,X - no new capture this year,? = maybe something unsure,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200062,modern housing on site,Urban,Urban,unverifiable: RS impossible,Other,Atlas of Yambol Mounds,NA,NA,2,p.3,NA,NA,,,LU ok,,,,,,,,,,X - no new capture this year,,,,,,,,
200064,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Russian topo maps,NA,NA,NA,p.3,NA,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016",X - no new capture this year,? = maybe something unsure,,,,,,,X - no new capture this year,,,,,,Maybe in the trees to the west?,,
200065,,Annual,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,20,20,2,p.3,none visible in GE,3,,,LU ok,small mound,"N = no, not visible this year","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200067,,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,25,25,3,p.3,none visible in GE,2,,,LU ok,mound,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,? = maybe something unsure,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200072,soilmark 20m East of point best visible in 2010,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,28,25,2,p.3,NA,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",? = maybe something unsure,X - no new capture this year,? = maybe something unsure,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","N = no, not visible this year","N = no, not visible this year",2013-2010 light spot in field,,
200073,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Russian topo maps,NA,NA,NA,,,NA,,,LU ok,,,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200074,,Annual,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Russian topo maps,45,45,4?,,,,,,LU ok,TP,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,Mound,,
200075,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,NA,p.3,NA,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016",,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200076,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,2,p.3,NA,NA,NA,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016",,,,,,,,,X - no new capture this year,,,,,,Nothing visible,,
200079,,Scrub,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Russian topo maps,30,25,2?,,,,,,LU ok,excavated in 2004 or 2005,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"$$ = yes, visible but in different form than indicated in RS Feature column","$$ = yes, visible but in different form than indicated in RS Feature column",X - no new capture this year,"$$ = yes, visible but in different form than indicated in RS Feature column","$$ = yes, visible but in different form than indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,To the North east 50 m maybe something,,
200080,"visible in 2003, excavated in 2005",Scrub,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Russian topo maps,13,13,2?,,,,,,LU ok,excavated in 2004 or 2005,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"$$ = yes, visible but in different form than indicated in RS Feature column","$$ = yes, visible but in different form than indicated in RS Feature column",X - no new capture this year,"$$ = yes, visible but in different form than indicated in RS Feature column","$$ = yes, visible but in different form than indicated in RS Feature column",X - no new capture this year,X - no new capture this year,? = maybe something unsure,? = maybe something unsure,X - no new capture this year,X - no new capture this year,,,
200081,,Pasture,Pasture,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Russian topo maps,NA,NA,2?,,,NA,,,LU ok,"mound between roads, ca 10 m south of the mark",,,,,,,,,X - no new capture this year,,,,,,Nothing visible ,,
200082,"map eror; map point is 300 m NE of the actual feature, which is much more to the south (personal visit)",Annual,Annual,"TP - mound recognized clearly in imagery, either current, or some historical image.",Soilmark and cropmark,Russian topo maps,65,52,1,,,1,,,LU ok,REVIEW with QuickBird,X - no new capture this year,X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,Best visible in 2017 where several captures show either a cropmark or excavations,,
